id	text	user__id	user__screen_name
1180871269589364742	@Ciderbrain @lucielocket51 @mitchellbess @pam_sands @Lostprayer2 @tracylynn0220 @BrokennewsB @krono2031 @kmc1230 @saynotoleftists @missymohum @CS19092693 @CovfefeSuziiQue @AZSCOTTZ @StandishTina @Mission12 @BuffaloTraceMe @kiel1786 @carolynreams1 @DollarsVets @Jeremia97428658 @Blakdragonheart @az_cst @dkmgmc @SimonBe57101015 @Dino31659 @BernadetteEnri9 @ScottyPatriot1 @lef_brain @beachbrat2b @CeraRpanici @no_silenced @Michael77869558 @K242583436 @ycamrahp18 @FletchReflected @wombats1997 @SuzanneMOsborne @Jynxxx96 @sir_not_a_bot @silver_fox9 @PeterSacco28 @America_First4U @colletteking @maulden_jerry @DougBoykin1 @ArnotbUp @_trbltrbl_ @RipTorn18 Morning to you apple and also your wife it Was a pleasure  toMeet you and wife	1141898290662924290	DougieTrucker
1180871270185017346	Now playing JTG - Up Listen here: https://t.co/z3Al7ah9qvhttps://t.co/TOGaBwc2a2	1016548032958091265	schiphop30
1180871268880527363	This has to be the best French apple tart in #miami with its super buttery and flaky  pastry and just so caramelized apples. Enjoyed at @lapetitemaisonmiami https://t.co/w91og3AS8F	614400797	MiamiCurated
1180871270566682624	RT @MackenMurphy: Too often, we hear people claim that pigs are “as smart as dogs.”This comparison damns them with faint praise.It’s ti…	815927398227177473	JohanKH
1180871271359401987	Carx Drift Racing Iphone Cheats Ifunbox. Carx Drift Racing Hack Apk Download Pc: مشاهده… https://t.co/1Fb586rFIb	303791467	hvacportal
1180871272273547265	RT @RyanAFournier: Biden's done.Bernie's done. Beto's donePete's done. Kamala's done. Warren will be the nominee and she has big…	2168817877	805carolyn
1180871272709931011	RT @influx_Divine: This is huge, great job standing up to the terrible double standard by this man. God bless sir.https://t.co/Pwv653dFcA…	1168101126648082432	kylebrowser1
1180871272974172160	thinking  https://t.co/bSV9KLp6m8	785250543056936964	soonations
1180871273959702528	RT @TropicGaws: We’re giving away an iPhone 11! 🌴 To win:• Retweet and like • Follow us @TropicGaws • Turn our notifications on• Comm…	2269865994	crocodew
1180871274622586889	RT @verge: Asus’ ROG Phone II is powerful, ambitious, and ridiculous https://t.co/CNANIGyA2r https://t.co/xW58Sp0QZ4	83257057	EmokeZ
1180871275952128000	You don't have an iPhone.	1410100370	Iamfortune2
1180871276082151427	RT @judyannewolff: Amazing you tube ... amazing app 🥇❤️🎁🏆... 🚂🚂🚂🚂🚂🚂 ... I love the planetarium 🙏👌🌔🌍 Alpine Train 3D - top scenic railroad…	2195598862	judyannewolff
1180871276115529728	RT @fodlanzine: ⭐FÓDLAN;⭐A FE:3H Fashion Zine Contributor Applications are officially OPEN!!🎉We are looking for artists, merch artists, a…	617704705	tsunberto
1180871276723937283	RT @RyanAFournier: Biden's done.Bernie's done. Beto's donePete's done. Kamala's done. Warren will be the nominee and she has big…	1029790826388439041	JBurtosu
1180871278686883842	RT @RyanAFournier: Biden's done.Bernie's done. Beto's donePete's done. Kamala's done. Warren will be the nominee and she has big…	822792436812496897	WinderWoman5322
1180871279274074112	RT @influx_Divine: This is huge, great job standing up to the terrible double standard by this man. God bless sir.https://t.co/Pwv653dFcA…	1072691105135845376	Crazy885320004
1180871279664087040	Pin Pineapple Apple Pie	923629281959399424	NerdyLexicon
1180871280070815744	RT @googlepixelmy: Google Pixel 3 (64gb)Before : RM 2100Now : RM 1800Google Pixel 3 (128gb)Before : RM 2200Now : RM 19504gb RAM5.5…	379126446	shahir_ashraf
1180871281136295938	Getting thicker... https://t.co/u6yRK3bhPd	849250832172425217	RobbieBeTweetin
1180871282834829312	RT @veIvetkai: JONGIN UPGRADED TO THE IPHONE 11 PRO ERIGOMS WE’RE TRANSCENDING ON HIS NEXT IG LIVE https://t.co/F7X7SkiMvy	1051326512366936065	denielleven_
1180871282285527040	Google Doodle today: Google celebrates Grandparent's Day https://t.co/ndAxkZVH2J https://t.co/Z4WAFBeB6r	1122083692325818369	texsaspost
1180871283476709377	RT @RyanAFournier: Biden's done.Bernie's done. Beto's donePete's done. Kamala's done. Warren will be the nominee and she has big…	2590606506	JanelleBCates
1180871283640164355	RT @AdamSchefter: NFL fines Ben Roethlisberger $5,000 for wearing Apple Watch on Steelers' sideline, per sources.https://t.co/nLP8RVMZHA	856949996272398336	NickPackers12
1180871284021977088	RT @micheal08133: A real, legit, loyal and trustworthy sugar baby needed. First 20 to like, retweet, will get $5000 I'm ready to clear all…	1178239203676741633	Findom192
1180871283711459328	RT @kmgjuseyo: rich dont throw their feelings away but throw their iphone https://t.co/84MqX4KvEw	1056604506513846272	nrlainafqh_
1180871284248530945	Calling Apple to fix my Airpods and they now let you choose your hold music so it’s ~smooth jazz hours~	4794735333	icelandicubical
1180871285665984512	RT @Education4Libs: Greta Thunberg:-16 yrs old-No accomplishments-Has no practical solutions-176M Google resultsBoyan Slat:-Invented…	1159433669011886080	Harsh_V22
1180871285439680513	Just enough time to squeeze in the pod that discusses all that happened at 1 Advent Health Facility.Plus. Bowles v. Peyton.3D Chess.	101095129	Ren_Daxt
1180871286702198784	sometimes I feel like buying an iPhone but then I remember that it only has a good camera and I get over it	1135410285253144576	angelshyunin
1180871286727290880	Microsoft Free Currency Converter Desktop Gadget - Windows Live Gadgets https://t.co/XrQxVBnIiW	311064979	remixboyv2
1180871285225742336	My new iPhone 11 pro 512GB 🤗 https://t.co/0L5VGHVYo8	1093988367589617669	Fazalkhan_Safi
1180871287335464960	I love a dark theme. Twitter, now Apple has my dreams coming true. Don’t @ me.	2970752201	apexpredatress
1180871287779946496	RT @Education4Libs: Greta Thunberg:-16 yrs old-No accomplishments-Has no practical solutions-176M Google resultsBoyan Slat:-Invented…	1244829740	lisa_ralls
1180871287628976129	RT @leraskolpneva: i’m raising money for a new iPhone 11 (mint); please, make RT;in process;price: $5;worldwide;payment via paypal;s…	1054675276720816128	hearteu_snakeu
1180871287339700225	hell yeah https://t.co/dDqeHmxJUH	974521984041168896	tigerpomme
1180871288056770562	Hi, Karin. You might want to check this journal to learn further about screening test in Psychology, specially in relation to the very test you talked about. I also provide the link where you can find the journal through Google Scholar~Cheers!	86039346	0410aynayn
1180871288610574339	RT @DemWrite: The Trump campaign spent more online last week than during any other one week period since @anotheracronym started tracking (…	1079565934254276616	1st_Julianna
1180871288924995585	RT @ManishTewari: U.N. Can’t Ignore Kashmir Anymore https://t.co/ILYYyCrMyX - This is the Editorial of @nytimes on Kashmir and the second l…	324997830	rash_rahman
1180871290464288770	RT @Shazam: RT if you're still craving some #ChickenNoodleSoup from @iambeckyg & #JHope ---> https://t.co/0maSUbbz7F 🍜 https://t.co/HMk4bLa…	1180840940593799168	SarahxTae
1180871290363826176	Hebrews 11:3  Through faith we understand that the worlds were framed by the word of God, so that things which are seen were not made of things which do appear.https://t.co/sKIEVsfemD	759101276462387200	EddieQueener
1180871290409738240	shop and and win assured rewards, iPhone XR and morehttps://t.co/cumfOKLRrI	789892495840714752	kannan_pdk
1180871290820784128	RT @Clara_Vondrich: A major battle is being waged behind closed doors over the European Investment Bank's proposal to ban fossil fuel proje…	15891963	Kretzmann
1180871291454119936	RT @Education4Libs: Greta Thunberg:-16 yrs old-No accomplishments-Has no practical solutions-176M Google resultsBoyan Slat:-Invented…	2539744807	fergbr
1180871291684806657	RT @googlepixelmy: Google Pixel 3XL (64gb)Before : RM 2400Now : RM 2050Google Pixel 3XL (128gb)Before : RM 2600Now : RM 22004gb RAM…	379126446	shahir_ashraf
1180871292528005125	@mishdalton I get a bit perplexed using emojis on Twitter because I use android, and know they look different on apple, and those subtleties of expression are too much 😅	22079604	shinyshona
1180871293727641600	RT @youyuxi: @capajj @andyhot @vuejs @Microsoft @typescript @ahejlsberg @drosenwasser You may think open to any contribution from day 1 c…	2481818113	onejsninja
